Eurovision Song Contest 2015 Grand Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Sweden,Estonia,14,12,13,12,18,13,5,8,3
Sweden,United Kingdom,23,25,21,25,24,25,20,25,"
"
Sweden,Armenia,26,24,25,26,26,26,18,23,"
"
Sweden,Lithuania,19,13,14,20,23,18,16,17,"
"
Sweden,Serbia,15,15,8,22,19,17,10,12,"
"
Sweden,Norway,8,3,3,6,3,4,4,4,7
Sweden,Cyprus,16,10,15,21,17,16,17,16,"
"
Sweden,Australia,3,1,1,3,1,1,1,1,12
Sweden,Belgium,4,2,5,2,8,3,2,2,10
Sweden,Austria,12,22,11,11,12,12,24,20,"
"
Sweden,Greece,17,17,20,17,20,19,25,24,"
"
Sweden,Montenegro,11,4,16,7,7,9,12,9,2
Sweden,Germany,7,14,19,16,13,14,21,19,"
"
Sweden,Poland,22,18,22,18,21,22,9,14,"
"
Sweden,Latvia,5,6,2,1,6,2,11,6,5
Sweden,Romania,21,23,18,15,15,20,15,18,"
"
Sweden,Spain,10,16,17,10,9,10,14,11,"
"
Sweden,Hungary,24,21,24,23,25,23,22,26,"
"
Sweden,Georgia,20,20,23,19,14,21,19,21,"
"
Sweden,Azerbaijan,9,9,10,5,5,8,23,15,"
"
Sweden,Russia,2,7,7,9,4,6,7,5,6
Sweden,Albania,25,26,26,24,16,24,6,13,"
"
Sweden,Italy,1,11,6,4,2,5,3,3,8
Switzerland,Slovenia,10,17,5,5,21,11,22,18,"
"
Switzerland,France,11,9,13,12,12,9,21,15,"
"
Switzerland,Israel,9,5,25,9,10,10,10,8,3
Switzerland,Estonia,7,22,16,16,7,13,15,13,"
"
Switzerland,United Kingdom,17,6,2,19,11,8,25,19,"
"
Switzerland,Armenia,26,26,27,27,27,27,23,27,"
"
Switzerland,Lithuania,12,3,7,4,4,4,26,16,"
"
Switzerland,Serbia,19,14,8,20,16,16,3,6,5
Switzerland,Norway,2,1,1,1,3,1,6,2,10
Switzerland,Sweden,3,4,3,3,2,3,4,1,12
Switzerland,Cyprus,4,19,19,22,24,19,24,25,"
"
Switzerland,Australia,5,8,14,10,8,6,5,3,8
Switzerland,Belgium,14,20,11,7,6,12,9,9,2
Switzerland,Austria,8,12,22,8,5,7,16,11,"
"
Switzerland,Greece,22,25,15,21,18,23,19,22,"
"
Switzerland,Montenegro,18,24,21,25,13,24,13,21,"
"
Switzerland,Germany,23,18,17,17,20,21,11,17,"
"
Switzerland,Poland,24,11,24,23,26,25,18,24,"
"
Switzerland,Latvia,1,2,6,2,1,2,17,7,4
Switzerland,Romania,25,10,26,15,14,20,14,20,"
"
Switzerland,Spain,21,16,9,18,9,15,8,10,1
Switzerland,Hungary,15,15,20,14,23,17,12,14,"
"
Switzerland,Georgia,16,21,18,13,19,18,27,26,"
"
Switzerland,Azerbaijan,13,23,10,24,25,22,20,23,"
"
Switzerland,Russia,6,7,4,6,17,5,7,4,7
Switzerland,Albania,27,27,23,26,22,26,1,12,"
"
Switzerland,Italy,20,13,12,11,15,14,2,5,6
The Netherlands,Slovenia,13,16,14,21,14,15,25,22,"
"
The Netherlands,France,12,13,6,16,11,11,21,14,"
"
The Netherlands,Israel,8,8,7,6,7,6,8,6,5
The Netherlands,Estonia,11,9,8,7,10,8,9,7,4
The Netherlands,United Kingdom,18,17,16,17,24,19,26,26,"
"
The Netherlands,Armenia,24,26,21,26,26,26,5,12,"
"
The Netherlands,Lithuania,17,21,18,25,4,17,16,15,"
"
The Netherlands,Serbia,21,22,12,9,23,18,10,10,1
The Netherlands,Norway,10,7,11,8,9,7,12,8,3
The Netherlands,Sweden,1,2,1,2,2,1,3,2,10
The Netherlands,Cyprus,14,15,10,13,20,13,22,18,"
"
The Netherlands,Australia,2,3,2,4,1,2,4,3,8
The Netherlands,Belgium,3,4,3,1,3,3,1,1,12
The Netherlands,Austria,25,20,22,11,17,20,27,27,"
"
The Netherlands,Greece,5,19,9,19,8,12,24,20,"
"
The Netherlands,Montenegro,16,11,13,15,22,14,23,21,"
"
The Netherlands,Germany,22,24,26,18,25,24,20,25,"
"
The Netherlands,Poland,26,25,24,22,21,25,7,13,"
"
The Netherlands,Latvia,9,1,20,3,15,9,11,9,2
The Netherlands,Romania,23,18,25,14,16,21,13,17,"
"
The Netherlands,Spain,15,12,17,20,18,16,17,16,"
"
The Netherlands,Hungary,19,14,23,24,19,22,14,19,"
"
The Netherlands,Georgia,7,10,15,12,6,10,19,11,"
"
The Netherlands,Azerbaijan,20,23,19,27,13,23,18,23,"
"
The Netherlands,Russia,4,5,5,10,5,4,6,5,6
The Netherlands,Albania,27,27,27,23,27,27,15,24,"
"
The Netherlands,Italy,6,6,4,5,12,5,2,4,7
United Kingdom,Slovenia,8,20,4,10,11,10,23,17,"
"
United Kingdom,France,21,13,12,21,20,20,26,25,"
"
United Kingdom,Israel,4,9,6,1,3,3,10,6,5
United Kingdom,Estonia,20,18,23,23,6,21,12,15,"
"
United Kingdom,Armenia,25,25,24,25,23,25,22,26,"
"
United Kingdom,Lithuania,14,19,13,13,16,14,1,7,4
United Kingdom,Serbia,18,15,8,9,15,12,9,10,1
United Kingdom,Norway,7,12,17,14,10,11,17,13,"
"
United Kingdom,Sweden,1,1,1,3,7,1,3,1,12
United Kingdom,Cyprus,6,11,9,8,8,7,14,11,"
"
United Kingdom,Australia,3,3,5,2,1,2,5,2,10
United Kingdom,Belgium,11,5,2,18,9,8,8,8,3
United Kingdom,Austria,10,21,22,17,13,16,21,20,"
"
United Kingdom,Greece,19,17,20,12,14,15,18,16,"
"
United Kingdom,Montenegro,16,16,15,20,18,18,25,23,"
"
United Kingdom,Germany,13,10,16,7,2,9,20,14,"
"
United Kingdom,Poland,12,14,14,22,21,17,2,9,2
United Kingdom,Latvia,9,2,3,15,5,5,6,4,7
United Kingdom,Romania,24,24,21,16,24,24,11,18,"
"
United Kingdom,Spain,17,8,25,5,12,13,13,12,"
"
United Kingdom,Hungary,15,23,7,24,26,23,19,22,"
"
United Kingdom,Georgia,23,6,19,19,19,19,16,19,"
"
United Kingdom,Azerbaijan,22,22,18,11,22,22,24,24,"
"
United Kingdom,Russia,5,4,11,4,17,6,7,5,6
United Kingdom,Albania,26,26,26,26,25,26,15,21,"
"
United Kingdom,Italy,2,7,10,6,4,4,4,3,8
