Eurovision Song Contest 2015 Grand Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Denmark,Greece,11,15,17,12,18,15,25,21,"
"
Denmark,Montenegro,7,9,25,16,11,13,23,19,"
"
Denmark,Germany,10,18,13,19,17,16,12,11,"
"
Denmark,Poland,20,22,14,22,24,22,22,24,"
"
Denmark,Latvia,3,7,2,11,7,4,10,7,4
Denmark,Romania,5,5,11,15,8,7,11,9,2
Denmark,Spain,15,4,18,23,9,14,16,14,"
"
Denmark,Hungary,9,21,24,10,14,17,18,18,"
"
Denmark,Georgia,19,19,7,20,21,20,21,22,"
"
Denmark,Azerbaijan,14,6,19,21,22,19,24,23,"
"
Denmark,Russia,1,1,3,2,1,1,3,2,10
Denmark,Albania,22,26,20,24,26,26,20,25,"
"
Denmark,Italy,21,8,10,3,10,8,5,6,5
Estonia,Slovenia,9,10,21,11,9,9,12,11,"
"
Estonia,France,19,23,13,23,19,22,21,21,"
"
Estonia,Israel,13,11,19,24,10,15,13,13,"
"
Estonia,United Kingdom,24,24,24,18,16,23,14,18,"
"
Estonia,Armenia,26,20,22,25,23,25,24,26,"
"
Estonia,Lithuania,20,13,9,4,14,10,9,9,2
Estonia,Serbia,23,25,26,22,25,26,19,23,"
"
Estonia,Norway,2,8,10,3,6,6,8,7,4
Estonia,Sweden,3,4,2,5,4,2,2,2,10
Estonia,Cyprus,21,14,14,20,21,20,15,17,"
"
Estonia,Australia,5,7,4,6,5,5,7,6,5
Estonia,Belgium,7,2,1,10,2,4,5,4,7
Estonia,Austria,12,16,15,7,13,11,18,15,"
"
Estonia,Greece,16,22,12,15,22,19,25,22,"
"
Estonia,Montenegro,17,15,25,26,26,24,23,24,"
"
Estonia,Germany,18,21,20,16,12,17,17,16,"
"
Estonia,Poland,15,12,17,19,24,18,20,19,"
"
Estonia,Latvia,11,1,8,13,1,7,4,5,6
Estonia,Romania,10,9,23,8,18,13,10,12,"
"
Estonia,Spain,6,17,11,12,20,12,16,14,"
"
Estonia,Hungary,4,3,5,1,3,1,6,3,8
Estonia,Georgia,25,6,7,9,7,8,11,10,1
Estonia,Azerbaijan,14,18,16,21,15,16,22,20,"
"
Estonia,Russia,1,5,3,2,8,3,1,1,12
Estonia,Albania,22,19,18,14,17,21,26,25,"
"
Estonia,Italy,8,26,6,17,11,14,3,8,3
F.Y.R. Macedonia,Slovenia,-,-,-,-,-,"
",3,3,8
F.Y.R. Macedonia,France,-,-,-,-,-,"
",23,23,"
"
F.Y.R. Macedonia,Israel,-,-,-,-,-,"
",14,14,"
"
F.Y.R. Macedonia,Estonia,-,-,-,-,-,"
",9,9,2
F.Y.R. Macedonia,United Kingdom,-,-,-,-,-,"
",24,24,"
"
F.Y.R. Macedonia,Armenia,-,-,-,-,-,"
",8,8,3
F.Y.R. Macedonia,Lithuania,-,-,-,-,-,"
",22,22,"
"
F.Y.R. Macedonia,Serbia,-,-,-,-,-,"
",2,2,10
F.Y.R. Macedonia,Norway,-,-,-,-,-,"
",21,21,"
"
F.Y.R. Macedonia,Sweden,-,-,-,-,-,"
",6,6,5
F.Y.R. Macedonia,Cyprus,-,-,-,-,-,"
",26,26,"
"
F.Y.R. Macedonia,Australia,-,-,-,-,-,"
",11,11,"
"
F.Y.R. Macedonia,Belgium,-,-,-,-,-,"
",10,10,1
F.Y.R. Macedonia,Austria,-,-,-,-,-,"
",20,20,"
"
F.Y.R. Macedonia,Greece,-,-,-,-,-,"
",12,12,"
"
F.Y.R. Macedonia,Montenegro,-,-,-,-,-,"
",7,7,4
F.Y.R. Macedonia,Germany,-,-,-,-,-,"
",17,17,"
"
F.Y.R. Macedonia,Poland,-,-,-,-,-,"
",25,25,"
"
F.Y.R. Macedonia,Latvia,-,-,-,-,-,"
",19,19,"
"
F.Y.R. Macedonia,Romania,-,-,-,-,-,"
",15,15,"
"
F.Y.R. Macedonia,Spain,-,-,-,-,-,"
",16,16,"
"
F.Y.R. Macedonia,Hungary,-,-,-,-,-,"
",27,27,"
"
F.Y.R. Macedonia,Georgia,-,-,-,-,-,"
",18,18,"
"
F.Y.R. Macedonia,Azerbaijan,-,-,-,-,-,"
",13,13,"
"
F.Y.R. Macedonia,Russia,-,-,-,-,-,"
",5,5,6
F.Y.R. Macedonia,Albania,-,-,-,-,-,"
",1,1,12
F.Y.R. Macedonia,Italy,-,-,-,-,-,"
",4,4,7
Finland,Slovenia,17,15,8,8,18,12,11,10,1
Finland,France,22,14,11,7,15,13,20,14,"
"
Finland,Israel,10,9,16,10,17,10,10,8,3
Finland,Estonia,4,13,4,2,8,5,1,2,10
Finland,United Kingdom,27,19,10,22,19,22,17,23,"
"
Finland,Armenia,25,27,27,18,27,27,27,27,"
"
Finland,Lithuania,16,26,14,16,11,17,21,21,"
"
Finland,Serbia,14,10,18,25,26,21,16,19,"
"
Finland,Norway,7,21,9,4,9,9,7,7,4
Finland,Sweden,2,2,1,5,3,2,2,1,12
Finland,Cyprus,15,23,15,6,5,11,22,15,"
"
Finland,Australia,8,11,12,11,4,6,6,6,5
Finland,Belgium,3,3,3,1,6,3,5,4,7
Finland,Austria,26,20,17,13,25,23,23,25,"
"
Finland,Greece,9,6,19,23,21,14,24,22,"
"
Finland,Montenegro,23,25,26,21,20,25,9,16,"
"
Finland,Germany,11,7,7,15,7,7,19,12,"
"
Finland,Poland,24,12,13,9,22,16,25,24,"
"
Finland,Latvia,1,1,6,3,2,1,8,5,6
Finland,Romania,18,22,25,14,24,24,13,18,"
"
Finland,Spain,12,8,20,24,16,15,14,13,"
"
Finland,Hungary,20,16,21,17,10,18,18,17,"
"
Finland,Georgia,6,5,5,20,13,8,15,11,"
"
Finland,Azerbaijan,13,18,22,26,12,20,26,26,"
"
Finland,Russia,5,4,2,19,1,4,4,3,8
Finland,Albania,21,24,24,27,23,26,12,20,"
"
Finland,Italy,19,17,23,12,14,19,3,9,2
France,Slovenia,13,22,23,22,15,22,24,26,"
"
France,Israel,23,26,25,23,19,25,5,16,"
"
France,Estonia,12,20,11,25,21,19,15,20,"
"
France,United Kingdom,20,18,14,24,7,17,25,25,"
"
France,Armenia,10,14,22,26,18,20,2,8,3
France,Lithuania,14,12,26,1,20,14,20,21,"
"
France,Serbia,24,21,24,21,26,26,8,18,"
"
France,Norway,4,8,3,19,5,7,21,13,"
"
France,Sweden,2,3,2,20,3,3,9,3,8
France,Cyprus,6,2,1,18,6,4,23,11,"
"
France,Australia,7,10,5,17,1,8,14,9,2
France,Belgium,1,6,7,4,2,2,3,1,12
France,Austria,15,16,9,16,9,12,26,24,"
"
France,Greece,16,17,18,15,12,16,22,23,"
"
France,Montenegro,17,13,16,2,14,11,18,14,"
"
France,Germany,11,9,15,14,10,10,19,15,"
"
France,Poland,18,1,8,13,16,9,10,7,4
France,Latvia,3,5,4,3,4,1,12,4,7
France,Romania,22,23,21,12,24,24,4,12,"
"
France,Spain,19,11,12,11,13,13,6,6,5
France,Hungary,8,7,6,5,11,6,16,10,1
France,Georgia,25,15,13,10,23,18,13,17,"
"
France,Azerbaijan,21,19,20,9,22,21,17,22,"
"
France,Russia,5,4,10,7,8,5,7,2,10
France,Albania,26,25,19,6,25,23,11,19,"
"
France,Italy,9,24,17,8,17,15,1,5,6
Georgia,Slovenia,14,12,26,15,20,20,18,21,"
"
Georgia,France,15,10,22,20,19,18,24,24,"
"
Georgia,Israel,16,9,11,26,11,14,11,10,1
Georgia,Estonia,17,8,16,19,21,16,6,9,2
Georgia,United Kingdom,18,7,20,16,22,17,13,15,"
"
Georgia,Armenia,19,20,3,3,2,7,1,1,12
Georgia,Lithuania,20,17,4,4,1,6,9,8,3
Georgia,Serbia,21,11,24,23,23,25,12,19,"
"
Georgia,Norway,22,13,14,13,16,15,23,22,"
"
Georgia,Sweden,1,1,1,2,3,1,7,4,7
Georgia,Cyprus,5,16,12,18,15,13,22,18,"
"
Georgia,Australia,6,14,15,12,12,11,15,11,"
"
Georgia,Belgium,2,2,8,7,6,2,8,5,6
Georgia,Austria,3,3,7,8,10,3,25,13,"
"
Georgia,Greece,23,15,13,21,14,19,10,14,"
"
Georgia,Montenegro,24,26,25,25,18,26,20,25,"
"
Georgia,Germany,9,18,23,14,24,21,14,17,"
"
Georgia,Poland,11,19,17,17,26,22,16,20,"
"
Georgia,Latvia,8,21,9,9,8,10,5,7,4
Georgia,Romania,10,22,21,22,17,23,17,23,"
"
Georgia,Spain,7,5,18,11,13,8,19,12,"
"
Georgia,Hungary,25,6,19,24,25,24,26,26,"
"
Georgia,Azerbaijan,13,23,5,1,4,5,3,2,10
Georgia,Russia,26,4,10,10,9,12,2,6,5
Georgia,Albania,12,24,6,6,7,9,21,16,"
"
Georgia,Italy,4,25,2,5,5,4,4,3,8
Germany,Slovenia,15,8,19,13,10,10,23,20,"
"
Germany,France,21,25,12,6,22,17,25,22,"
"
Germany,Israel,9,7,6,18,8,9,7,6,5
Germany,Estonia,6,6,5,12,6,6,14,9,2
Germany,United Kingdom,20,20,26,14,23,23,26,26,"
"
Germany,Armenia,17,23,23,21,25,24,19,23,"
"
Germany,Lithuania,10,11,9,25,13,11,21,19,"
"
Germany,Serbia,16,22,17,19,11,15,9,11,"
"
Germany,Norway,4,4,4,3,2,3,15,7,4
Germany,Sweden,3,5,2,2,3,2,5,2,10
Germany,Cyprus,11,18,13,23,21,16,16,18,"
"
Germany,Australia,8,9,8,4,9,7,3,4,7
Germany,Belgium,5,3,7,7,4,5,4,3,8
Germany,Austria,7,10,11,10,5,8,17,12,"
"
Germany,Greece,13,19,16,22,18,19,13,17,"
"
Germany,Montenegro,19,16,25,16,14,20,24,24,"
"
Germany,Poland,22,26,14,17,20,22,8,13,"
"
Germany,Latvia,1,1,1,1,1,1,12,5,6
Germany,Romania,18,21,24,15,16,21,11,16,"
"
Germany,Spain,14,13,20,9,19,14,20,21,"
"
Germany,Hungary,12,17,10,20,15,13,10,10,1
Germany,Georgia,24,12,15,8,12,12,18,14,"
"
Germany,Azerbaijan,25,14,22,24,26,25,22,25,"
"
Germany,Russia,2,2,3,5,7,4,2,1,12
Germany,Albania,26,24,18,26,24,26,6,15,"
"
Germany,Italy,23,15,21,11,17,18,1,8,3
Greece,Slovenia,14,13,22,20,14,18,19,19,"
"
Greece,France,4,6,25,26,20,16,21,20,"
"
Greece,Israel,25,26,16,12,22,24,10,17,"
"
Greece,Estonia,22,19,6,18,16,17,8,12,"
"
Greece,United Kingdom,24,24,15,24,11,22,23,24,"
"
Greece,Armenia,10,3,20,3,10,8,15,10,1
Greece,Lithuania,15,23,24,21,21,25,25,26,"
"
Greece,Serbia,26,25,26,25,12,26,13,21,"
"
Greece,Norway,16,20,23,14,13,20,20,22,"
"
Greece,Sweden,2,18,5,11,9,7,7,7,4
Greece,Cyprus,9,2,2,1,4,2,3,2,10
Greece,Australia,5,11,3,5,6,4,9,6,5
Greece,Belgium,6,12,7,8,5,5,5,4,7
Greece,Austria,20,22,17,22,19,23,26,25,"
"
Greece,Montenegro,21,10,11,7,23,12,17,14,"
"
Greece,Germany,19,17,18,23,7,19,24,23,"
"
Greece,Poland,23,9,19,17,18,21,16,18,"
"
Greece,Latvia,7,8,12,10,2,6,12,8,3
Greece,Romania,8,15,14,19,8,10,14,11,"
"
Greece,Spain,13,21,8,13,17,14,11,13,"
"
Greece,Hungary,11,14,13,16,15,11,22,16,"
"
Greece,Georgia,12,16,10,9,25,13,6,9,2
Greece,Azerbaijan,17,7,21,6,24,15,18,15,"
"
Greece,Russia,1,4,4,15,3,3,4,3,8
Greece,Albania,18,5,9,4,26,9,2,5,6
Greece,Italy,3,1,1,2,1,1,1,1,12
Hungary,Slovenia,18,15,24,15,18,22,14,18,"
"
Hungary,France,11,25,19,24,21,23,26,26,"
"
Hungary,Israel,20,17,18,9,25,18,7,13,"
"
Hungary,Estonia,16,6,2,6,20,9,2,4,7
Hungary,United Kingdom,14,26,14,11,24,21,21,22,"
"
Hungary,Armenia,22,24,25,25,13,25,18,24,"
"
Hungary,Lithuania,25,23,15,10,12,16,24,20,"
"
Hungary,Serbia,23,13,10,14,23,15,9,12,"
"
Hungary,Norway,6,2,9,13,14,7,13,7,4
Hungary,Sweden,10,4,7,3,1,2,4,2,10
Hungary,Cyprus,5,10,17,7,5,8,20,15,"
"
Hungary,Australia,4,8,5,8,3,4,6,3,8
Hungary,Belgium,15,3,1,2,4,3,3,1,12
Hungary,Austria,8,12,16,17,7,10,19,16,"
"
Hungary,Greece,2,9,20,23,8,11,25,19,"
"
Hungary,Montenegro,24,20,26,26,26,26,17,23,"
"
Hungary,Germany,3,18,21,18,6,12,11,11,"
"
Hungary,Poland,9,11,8,22,16,13,12,14,"
"
Hungary,Latvia,1,1,3,4,2,1,10,6,5
Hungary,Romania,21,21,11,12,11,14,8,10,1
Hungary,Spain,12,14,22,21,17,17,16,17,"
"
